n_estimators,learning_rate,num_leaves,max_depth,subsample,colsample_bytree,msle,train_time
400,0.03,127,-1,0.7,0.7,0.1809620956646173,5.570796
400,0.03,127,-1,0.8,0.7,0.1809620956646173,5.673504
400,0.03,127,-1,0.9,0.7,0.1809620956646173,5.619443
400,0.03,127,-1,0.7,0.9,0.18104864190734693,5.976078
400,0.03,127,-1,0.8,0.9,0.18104864190734693,5.891644
400,0.03,127,-1,0.9,0.9,0.18104864190734693,5.923647
400,0.03,127,10,0.7,0.7,0.18112207240135028,4.725351
400,0.03,127,-1,0.7,0.8,0.181132112991701,5.724844
400,0.03,127,-1,0.9,0.8,0.181132112991701,6.317004
400,0.03,127,-1,0.8,0.8,0.181132112991701,6.081464
